Input,Target
"Roland: ""It's okay, Stevie, I set aside two rooms for them."" | Stevie: ""Well, there's nothing here."" | Roland: ""Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals.""","Moira: ""We'll need three rooms, minimum."""
"Stevie: ""Well, there's nothing here."" | Roland: ""Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals."" | Moira: ""We'll need three rooms, minimum.""","Roland: ""Ooh, no can do, honey. Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so..."""
"Roland: ""Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals."" | Moira: ""We'll need three rooms, minimum."" | Roland: ""Ooh, no can do, honey. Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so...""","Johnny: ""What about suites? Do you have a couple of suites?"""
"Moira: ""We'll need three rooms, minimum."" | Roland: ""Ooh, no can do, honey. Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so..."" | Johnny: ""What about suites? Do you have a couple of suites?""","Roland: ""No, this is a motel, so we cater more to off road truckers and drunk teenagers."""
"Roland: ""Ooh, no can do, honey. Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so..."" | Johnny: ""What about suites? Do you have a couple of suites?"" | Roland: ""No, this is a motel, so we cater more to off road truckers and drunk teenagers.""","Moira: ""Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please."""
"Johnny: ""What about suites? Do you have a couple of suites?"" | Roland: ""No, this is a motel, so we cater more to off road truckers and drunk teenagers."" | Moira: ""Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please.""","Roland: ""There you go, ma'am."""
"Roland: ""No, this is a motel, so we cater more to off road truckers and drunk teenagers."" | Moira: ""Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please."" | Roland: ""There you go, ma'am.""","Moira: ""It smells like a gym bag. Does anyone else feel light headed?"""
"Moira: ""Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please."" | Roland: ""There you go, ma'am."" | Moira: ""It smells like a gym bag. Does anyone else feel light headed?""","Roland: ""You know, I did the deed in just about every room in this place. Yep, if a forensic team came in here with one of those blue lights, this place would just light up!"""
"Roland: ""There you go, ma'am."" | Moira: ""It smells like a gym bag. Does anyone else feel light headed?"" | Roland: ""You know, I did the deed in just about every room in this place. Yep, if a forensic team came in here with one of those blue lights, this place would just light up!""","Alexis: ""Ew! Ew! Ew! Ew! Ew!"""
"Moira: ""It smells like a gym bag. Does anyone else feel light headed?"" | Roland: ""You know, I did the deed in just about every room in this place. Yep, if a forensic team came in here with one of those blue lights, this place would just light up!"" | Alexis: ""Ew! Ew! Ew! Ew! Ew!""","David: ""Oh my God. Oh my God!"""
"Roland: ""You know, I did the deed in just about every room in this place. Yep, if a forensic team came in here with one of those blue lights, this place would just light up!"" | Alexis: ""Ew! Ew! Ew! Ew! Ew!"" | David: ""Oh my God. Oh my God!""","Roland: ""Oh hey, chief, the other room's right through there."""
"Alexis: ""Ew! Ew! Ew! Ew! Ew!"" | David: ""Oh my God. Oh my God!"" | Roland: ""Oh hey, chief, the other room's right through there.""","Moira: ""I should probably pull off that cover, and... burn it."""
"David: ""Oh my God. Oh my God!"" | Roland: ""Oh hey, chief, the other room's right through there."" | Moira: ""I should probably pull off that cover, and... burn it.""","Johnny: ""Good, Roland, thank you very much, appreciate everything, uh... Well, the thing is we won't be watching a lot of television, but again, thank you, I don't want to keep you, I know you're a busy man."""
"Stevie: ""Can I help you?""","David: ""I'm looking for an extra towel, And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?"""
"Stevie: ""Can I help you?"" | David: ""I'm looking for an extra towel, And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?""","Stevie: ""Yes, we do have a business center. You can find it right outside the doors to your left, right beside the hammam spa. Would you like me to book you a treatment while you're at it?"""
"Stevie: ""Can I help you?"" | David: ""I'm looking for an extra towel, And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?"" | Stevie: ""Yes, we do have a business center. You can find it right outside the doors to your left, right beside the hammam spa. Would you like me to book you a treatment while you're at it?""","David: ""Thank you, no, just the towel, thanks. I'll get those right out."""
"Johnny: ""Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do. If you don't mind.""","Roland: ""No problem there, Johnny, I don't mind helpin' out. Listen, one thing before I go here, um... Do you mind if I use your toilet?"""
"Johnny: ""Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do. If you don't mind."" | Roland: ""No problem there, Johnny, I don't mind helpin' out. Listen, one thing before I go here, um... Do you mind if I use your toilet?""","Moira: ""Is it absolutely necessary?"""
"Johnny: ""Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do. If you don't mind."" | Roland: ""No problem there, Johnny, I don't mind helpin' out. Listen, one thing before I go here, um... Do you mind if I use your toilet?"" | Moira: ""Is it absolutely necessary?""","Roland: ""Uh, yeah, I would say it's absolutely necessary! Yes, that train has left the station, if you know what I mean! Chuckles"""
"David: ""I need that bed.""","Alexis: ""Why you?"""
"David: ""I need that bed."" | Alexis: ""Why you?""","David: ""Because I need it. Because if someone were to break in here in the middle of the night wanting to mrder us, they would attack this bed first, so I need this bed."""
"David: ""I need that bed."" | Alexis: ""Why you?"" | David: ""Because I need it. Because if someone were to break in here in the middle of the night wanting to mrder us, they would attack this bed first, so I need this bed.""","Alexis: ""So you're saying that you want me to get mrderd first?! In front of you? And then what would you do? Would you just run away and leave me to bleed out..."""
"Alexis: ""Why you?"" | David: ""Because I need it. Because if someone were to break in here in the middle of the night wanting to mrder us, they would attack this bed first, so I need this bed."" | Alexis: ""So you're saying that you want me to get mrderd first?! In front of you? And then what would you do? Would you just run away and leave me to bleed out...""","David: ""Uh, sort of, that was the plan, yeah."""
"David: ""Because I need it. Because if someone were to break in here in the middle of the night wanting to mrder us, they would attack this bed first, so I need this bed."" | Alexis: ""So you're saying that you want me to get mrderd first?! In front of you? And then what would you do? Would you just run away and leave me to bleed out..."" | David: ""Uh, sort of, that was the plan, yeah.""","Alexis: ""Okay. Well, you can have the bed when I leave."""
"Alexis: ""So you're saying that you want me to get mrderd first?! In front of you? And then what would you do? Would you just run away and leave me to bleed out..."" | David: ""Uh, sort of, that was the plan, yeah."" | Alexis: ""Okay. Well, you can have the bed when I leave.""","David: ""Well, where are you going?"""
"David: ""Uh, sort of, that was the plan, yeah."" | Alexis: ""Okay. Well, you can have the bed when I leave."" | David: ""Well, where are you going?""","Alexis: ""Stavros is flying in to get me, I told you that."""
"Alexis: ""Okay. Well, you can have the bed when I leave."" | David: ""Well, where are you going?"" | Alexis: ""Stavros is flying in to get me, I told you that.""","David: ""What do you mean Stavros is com... What do you mean? When? When is he doing that?"""
"David: ""Well, where are you going?"" | Alexis: ""Stavros is flying in to get me, I told you that."" | David: ""What do you mean Stavros is com... What do you mean? When? When is he doing that?""","Alexis: ""Like, whenever stupid Mary-Kate stops hogging his plane."""
"Alexis: ""Stavros is flying in to get me, I told you that."" | David: ""What do you mean Stavros is com... What do you mean? When? When is he doing that?"" | Alexis: ""Like, whenever stupid Mary-Kate stops hogging his plane.""","David: ""Well, where are we going?"""
"David: ""What do you mean Stavros is com... What do you mean? When? When is he doing that?"" | Alexis: ""Like, whenever stupid Mary-Kate stops hogging his plane."" | David: ""Well, where are we going?""","Alexis: ""Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point."""
"Alexis: ""Like, whenever stupid Mary-Kate stops hogging his plane."" | David: ""Well, where are we going?"" | Alexis: ""Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point.""","David: ""What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!"""
"David: ""Well, where are we going?"" | Alexis: ""Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point."" | David: ""What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!""","Alexis: ""Um, David, it will be four months next month! And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so..."""
"Alexis: ""Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point."" | David: ""What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!"" | Alexis: ""Um, David, it will be four months next month! And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so...""","David: ""That's the stupidest thing I've ever heard. I'm telling mom. I'm telling mom and dad, have you told them?"""
"David: ""What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!"" | Alexis: ""Um, David, it will be four months next month! And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so..."" | David: ""That's the stupidest thing I've ever heard. I'm telling mom. I'm telling mom and dad, have you told them?""","Alexis: ""No! No David, I'm waiting for the right opportunity. Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that. Well, I need this bed! I need it, so. You know what, David?! You get mrderd first for once!"""
"Alexis: ""Um, David, it will be four months next month! And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so..."" | David: ""That's the stupidest thing I've ever heard. I'm telling mom. I'm telling mom and dad, have you told them?"" | Alexis: ""No! No David, I'm waiting for the right opportunity. Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that. Well, I need this bed! I need it, so. You know what, David?! You get mrderd first for once!""","David: ""No, you get mrderd first!"""
"David: ""That's the stupidest thing I've ever heard. I'm telling mom. I'm telling mom and dad, have you told them?"" | Alexis: ""No! No David, I'm waiting for the right opportunity. Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that. Well, I need this bed! I need it, so. You know what, David?! You get mrderd first for once!"" | David: ""No, you get mrderd first!""","Alexis: ""David, you get mrderd first!"""
"Alexis: ""No! No David, I'm waiting for the right opportunity. Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that. Well, I need this bed! I need it, so. You know what, David?! You get mrderd first for once!"" | David: ""No, you get mrderd first!"" | Alexis: ""David, you get mrderd first!""","David: ""No, you! You do it!"""
"David: ""No, you get mrderd first!"" | Alexis: ""David, you get mrderd first!"" | David: ""No, you! You do it!""","Alexis: ""Yes, you get mrderd first! David, you get mrderd first!"""
"Alexis: ""I actually think this place is kinda cute.""","Moira: ""Did you say cute? No Alexis, Martha Stewart's Hampton home is cute."""
"Alexis: ""I actually think this place is kinda cute."" | Moira: ""Did you say cute? No Alexis, Martha Stewart's Hampton home is cute.""","David: ""Where's that weird man?"""
"Alexis: ""I actually think this place is kinda cute."" | Moira: ""Did you say cute? No Alexis, Martha Stewart's Hampton home is cute."" | David: ""Where's that weird man?""","Moira: ""He's in the bathroom."""
"Moira: ""Did you say cute? No Alexis, Martha Stewart's Hampton home is cute."" | David: ""Where's that weird man?"" | Moira: ""He's in the bathroom.""","Johnny: ""He... he won't leave!"""
"David: ""Where's that weird man?"" | Moira: ""He's in the bathroom."" | Johnny: ""He... he won't leave!""","Alexis: ""Well, he's been in there for a very long ti..."""
"Moira: ""He's in the bathroom."" | Johnny: ""He... he won't leave!"" | Alexis: ""Well, he's been in there for a very long ti...""","David: ""Oh my God! Oh my God!"""
"Johnny: ""He... he won't leave!"" | Alexis: ""Well, he's been in there for a very long ti..."" | David: ""Oh my God! Oh my God!""","Roland: ""Remind me to get that window fixed. It will not open."""
"Alexis: ""Well, he's been in there for a very long ti..."" | David: ""Oh my God! Oh my God!"" | Roland: ""Remind me to get that window fixed. It will not open.""","Johnny: ""Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family."""
"David: ""Oh my God! Oh my God!"" | Roland: ""Remind me to get that window fixed. It will not open."" | Johnny: ""Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family.""","Roland: ""Sure, well actually, those curtains do close there so... Oh, look! You've got Channel 19!"""
"Roland: ""Remind me to get that window fixed. It will not open."" | Johnny: ""Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family."" | Roland: ""Sure, well actually, those curtains do close there so... Oh, look! You've got Channel 19!""","Johnny: ""Roland, could you get the fck out?! That was an overreaction. That was uncalled for."""
"Johnny: ""Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family."" | Roland: ""Sure, well actually, those curtains do close there so... Oh, look! You've got Channel 19!"" | Johnny: ""Roland, could you get the fck out?! That was an overreaction. That was uncalled for.""","Moira: ""It's just... you know, we're a little tired, it's been a long day, there's a pharmacy worth of drgs wearing off on most of us right now, and I just think as a family, we just need a little time to chill."""
"Roland: ""Sure, well actually, those curtains do close there so... Oh, look! You've got Channel 19!"" | Johnny: ""Roland, could you get the fck out?! That was an overreaction. That was uncalled for."" | Moira: ""It's just... you know, we're a little tired, it's been a long day, there's a pharmacy worth of drgs wearing off on most of us right now, and I just think as a family, we just need a little time to chill.""","Roland: ""Johnny, please, you don't have to apologize, and you really don't have to hit me over the head with this sort of thing, I get it, you need your little family time and all that, I'm sure. You know what I'll do, I'll um...,I'll just get the fck out of here."""
"Alexis: ""I think it's kinda sweet.""","Moira: ""Alexis, what's going on with you?"""
"Alexis: ""I think it's kinda sweet."" | Moira: ""Alexis, what's going on with you?""","Alexis: ""What do you mean?"""
"Alexis: ""I think it's kinda sweet."" | Moira: ""Alexis, what's going on with you?"" | Alexis: ""What do you mean?""","Moira: ""The room was ""cute,"" this place is ""sweet."""""
"Moira: ""Alexis, what's going on with you?"" | Alexis: ""What do you mean?"" | Moira: ""The room was ""cute,"" this place is ""sweet.""""","David: ""I am personally offended by this place, I don't know what you think is nice about it."""
"Alexis: ""What do you mean?"" | Moira: ""The room was ""cute,"" this place is ""sweet."""" | David: ""I am personally offended by this place, I don't know what you think is nice about it.""","Moira: ""The town is disgusting. It is gruesome."""
"Moira: ""The room was ""cute,"" this place is ""sweet."""" | David: ""I am personally offended by this place, I don't know what you think is nice about it."" | Moira: ""The town is disgusting. It is gruesome.""","Alexis: ""It is charming, it is quaint, it's like out of a storybook."""
"David: ""I am personally offended by this place, I don't know what you think is nice about it."" | Moira: ""The town is disgusting. It is gruesome."" | Alexis: ""It is charming, it is quaint, it's like out of a storybook.""","Moira: ""Alexis, what the hell is the matter with you?!"""
"Moira: ""The town is disgusting. It is gruesome."" | Alexis: ""It is charming, it is quaint, it's like out of a storybook."" | Moira: ""Alexis, what the hell is the matter with you?!""","Alexis: ""Okay... Stavros is flying in to get me, and I am going to go live with him for a little bit."""
"Alexis: ""It is charming, it is quaint, it's like out of a storybook."" | Moira: ""Alexis, what the hell is the matter with you?!"" | Alexis: ""Okay... Stavros is flying in to get me, and I am going to go live with him for a little bit.""","Moira: ""Well, that is not happening. And I am appalled that my baby girl has turned into a selfish, duplicitous whore!"""
"Twyla: ""Hi, I'm Twyla. I'll be your waitress today. Anyway, I read about you guys, and everything you've gone through, it sounds super crappy.""","Johnny: ""Could you give us a moment please?"""
"Twyla: ""Hi, I'm Twyla. I'll be your waitress today. Anyway, I read about you guys, and everything you've gone through, it sounds super crappy."" | Johnny: ""Could you give us a moment please?""","Twyla: ""Whenever you're ready, I'm just right over here."""
"Moira: ""I forbid you to abandon our family.""","Alexis: ""I am a grown woman, mother."""
"Moira: ""I forbid you to abandon our family."" | Alexis: ""I am a grown woman, mother.""","Johnny: ""This is an act of a spoiled child!"""
"Moira: ""I forbid you to abandon our family."" | Alexis: ""I am a grown woman, mother."" | Johnny: ""This is an act of a spoiled child!""","Moira: ""I think it's unforgivable!"""
"Alexis: ""I am a grown woman, mother."" | Johnny: ""This is an act of a spoiled child!"" | Moira: ""I think it's unforgivable!""","Alexis: ""I think that you're just super jealous, 'cause I'm getting out of here! Also, you have a big thing of dandruff on your eyebrow."""
"Johnny: ""This is an act of a spoiled child!"" | Moira: ""I think it's unforgivable!"" | Alexis: ""I think that you're just super jealous, 'cause I'm getting out of here! Also, you have a big thing of dandruff on your eyebrow.""","Moira: ""The world is falling apart around us John, and I'm dying inside."""
"Moira: ""I think it's unforgivable!"" | Alexis: ""I think that you're just super jealous, 'cause I'm getting out of here! Also, you have a big thing of dandruff on your eyebrow."" | Moira: ""The world is falling apart around us John, and I'm dying inside.""","Johnny: ""Well, I'm feeling a little queasy myself."""
"Alexis: ""I think that you're just super jealous, 'cause I'm getting out of here! Also, you have a big thing of dandruff on your eyebrow."" | Moira: ""The world is falling apart around us John, and I'm dying inside."" | Johnny: ""Well, I'm feeling a little queasy myself.""","David: ""Give me... some spale!"""
"Alexis: ""These rooms did have doors, didn't they?""","Moira: ""Yeah, it's a hotel, they're hotel rooms!"""
"Alexis: ""These rooms did have doors, didn't they?"" | Moira: ""Yeah, it's a hotel, they're hotel rooms!""","Alexis: ""It's a motel! These are motel rooms. What if they took our stuff?!"""
"Alexis: ""These rooms did have doors, didn't they?"" | Moira: ""Yeah, it's a hotel, they're hotel rooms!"" | Alexis: ""It's a motel! These are motel rooms. What if they took our stuff?!""","David: ""What stuff? There's no stuff to take."""
"Moira: ""Yeah, it's a hotel, they're hotel rooms!"" | Alexis: ""It's a motel! These are motel rooms. What if they took our stuff?!"" | David: ""What stuff? There's no stuff to take.""","Johnny: ""Son of a btch!"""
"Johnny: ""Yeah, I've got a problem.""","Stevie: ""If this is about doors..."""
"Johnny: ""Yeah, I've got a problem."" | Stevie: ""If this is about doors...""","Johnny: ""Yeah, it's about doors, yeah, my doors are gone, my front door, somebody stole my doors!"""
"Johnny: ""Yeah, I've got a problem."" | Stevie: ""If this is about doors..."" | Johnny: ""Yeah, it's about doors, yeah, my doors are gone, my front door, somebody stole my doors!""","Stevie: ""Yeah, you're gonna have to talk to Roland about that. He lives just down the street, you make a left out of the motel and then another left. It's a house with a truck in the driveway. There's a bumper sticker of a naked Helen Mirren."""
"Moira: ""Oh my God, no! No! No! Ah! My earrings! They were there.""","Alexis: ""Where did they go?"""
"Moira: ""Oh my God, no! No! No! Ah! My earrings! They were there."" | Alexis: ""Where did they go?""","Moira: ""I don't know! First you threatened to abandon me, and now my precious diamonds are gone!"""
"Moira: ""Oh my God, no! No! No! Ah! My earrings! They were there."" | Alexis: ""Where did they go?"" | Moira: ""I don't know! First you threatened to abandon me, and now my precious diamonds are gone!""","Alexis: ""Okay, you are super dramatic right now."""
"Alexis: ""Where did they go?"" | Moira: ""I don't know! First you threatened to abandon me, and now my precious diamonds are gone!"" | Alexis: ""Okay, you are super dramatic right now.""","Moira: ""Shut up and look for them!"""
"Johnny: ""Yeah, of course you see me.""","Roland: ""I'm looking at my gravel."""
"Johnny: ""Yeah, of course you see me."" | Roland: ""I'm looking at my gravel.""","Johnny: ""Gravel these days, what are you gonna do?"""
"Johnny: ""Yeah, of course you see me."" | Roland: ""I'm looking at my gravel."" | Johnny: ""Gravel these days, what are you gonna do?""","Roland: ""Hey, good news for you. I talked to a guy about that bathroom window."""
"Roland: ""I'm looking at my gravel."" | Johnny: ""Gravel these days, what are you gonna do?"" | Roland: ""Hey, good news for you. I talked to a guy about that bathroom window.""","Johnny: ""That's the least of my concerns right now!"""
"Johnny: ""Gravel these days, what are you gonna do?"" | Roland: ""Hey, good news for you. I talked to a guy about that bathroom window."" | Johnny: ""That's the least of my concerns right now!""","Roland: ""Oh really? Well, why don't we address your concerns?!"""
"Roland: ""Hey, good news for you. I talked to a guy about that bathroom window."" | Johnny: ""That's the least of my concerns right now!"" | Roland: ""Oh really? Well, why don't we address your concerns?!""","Johnny: ""The doors! I want my doors back! Before it gets dark! My son is afraid of moths."""
"Johnny: ""That's the least of my concerns right now!"" | Roland: ""Oh really? Well, why don't we address your concerns?!"" | Johnny: ""The doors! I want my doors back! Before it gets dark! My son is afraid of moths.""","Roland: ""Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing. You disrespected me in front of your family!"""
"Roland: ""Oh really? Well, why don't we address your concerns?!"" | Johnny: ""The doors! I want my doors back! Before it gets dark! My son is afraid of moths."" | Roland: ""Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing. You disrespected me in front of your family!""","Rolandy: ""And now they think less of me."""
"Johnny: ""The doors! I want my doors back! Before it gets dark! My son is afraid of moths."" | Roland: ""Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing. You disrespected me in front of your family!"" | Rolandy: ""And now they think less of me.""","Johnny: ""I doubt that's possible. And to be honest, you were kinda breathing down our necks a little bit back at the motel."""
"Roland: ""Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing. You disrespected me in front of your family!"" | Rolandy: ""And now they think less of me."" | Johnny: ""I doubt that's possible. And to be honest, you were kinda breathing down our necks a little bit back at the motel.""","Roland: ""Johnny, when I was a kid and I did a bad thing, my father took the doors off my room. And he said to me, ""Roland, privacy is earned."""""
"Rolandy: ""And now they think less of me."" | Johnny: ""I doubt that's possible. And to be honest, you were kinda breathing down our necks a little bit back at the motel."" | Roland: ""Johnny, when I was a kid and I did a bad thing, my father took the doors off my room. And he said to me, ""Roland, privacy is earned.""""","Johnny: ""I am having a tough time following that. What the hell does that have to do with privacy?"""
"Johnny: ""I doubt that's possible. And to be honest, you were kinda breathing down our necks a little bit back at the motel."" | Roland: ""Johnny, when I was a kid and I did a bad thing, my father took the doors off my room. And he said to me, ""Roland, privacy is earned."""" | Johnny: ""I am having a tough time following that. What the hell does that have to do with privacy?""","Roland: ""Nothing. I just got mad, and I took your doors."""
