Character,Dialogue
Moira,I think it's unforgivable!
Alexis,"I think that you're just super jealous,"
Alexis,'cause I'm getting out of here!
Alexis,"Also, you have a big thing of dandruff on your eyebrow."
Moira,"The world is falling apart around us John, and I'm dying inside."
Johnny,"Well, I'm feeling a little queasy myself."
David,Give me... some spale!

Alexis,"These rooms did have doors, didn't they?"
Moira,"Yeah, it's a hotel, they're hotel rooms!"
Alexis,It's a motel! These are motel rooms.
Alexis,What if they took our stuff?!
David,What stuff? There's no stuff to take.
Johnny,Son of a btch!

Johnny,"Yeah, I've got a problem."
Stevie,If this is about doors...
Johnny,"Yeah, it's about doors, yeah, my doors are gone, my front door, somebody stole my doors!"
Stevie,"Yeah, you're gonna have to talk to Roland about that."
Stevie,"He lives just down the street, you make a left out of the motel and then another left."
Stevie,It's a house with a truck in the driveway.
Stevie,There's a bumper sticker of a naked Helen Mirren.

Moira,"Oh my God, no! No! No!"
Moira,Ah! My earrings! They were there.
Alexis,Where did they go?
Moira,"I don't know! First you threatened to abandon me, and now my precious diamonds are gone!"
Alexis,"Okay, you are super dramatic right now."
Moira,Shut up and look for them!

Johnny,"Yeah, of course you see me."
Roland,I'm looking at my gravel.
Johnny,"Gravel these days, what are you gonna do?"
Roland,"Hey, good news for you."
Roland,I talked to a guy about that bathroom window.
Johnny,That's the least of my concerns right now!
Roland,"Oh really? Well, why don't we address your concerns?!"
Johnny,The doors! I want my doors back!
Johnny,Before it gets dark!
Johnny,My son is afraid of moths.
Roland,"Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing."
Roland,You disrespected me in front of your family!
Rolandy,And now they think less of me.
Johnny,I doubt that's possible.
Johnny,"And to be honest, you were kinda breathing down our necks a little bit back at the motel."
Roland,"Johnny, when I was a kid and I did a bad thing, my father took the doors off my room."
Roland,"And he said to me, ""Roland, privacy is earned."""
Johnny,I am having a tough time following that.
Johnny,What the hell does that have to do with privacy?
Roland,"Nothing. I just got mad, and I took your doors."
Johnny,"Look, if you took offense to anything I said back at the motel, just know it wasn't personal."
Roland,"All right, apology accepted."
Johnny,"Well, that was less of an apology, and more of an explanation."
Roland,"Nevertheless, I accept your apology."
Roland,So thank you again for that apology.
Johnny,"Well, there was no apology, and I can't do this anymore!"
Roland,"You said you're sorry in a very sweet and humble way, and that takes a big man to do that, and that's what Johnny Rose is! A big man! Ooh!"

Moira,"Hi, hello, come here, please."
Moira,I don't suppose you saw any hobos or crackheads loitering around the hotel today?
Moira,"While the rooms were exposed to the world like a Moroccan fair, someone got in here and stole my earrings."
Moira,But it was just... but it was just you here today.
Moira,I'm assuming you were the only one here on the premises today?
Stevie,I think I know where you're going with this.
Moira,"No, I'm simply confirming that you alone were here when the earrings were stolen."
Stevie,Are you asking me if I stole your earrings?
Moira,"No, I would never, please!"
Moira,But I also would certainly never press charges if my earrings were suddenly to be returned.
Moira,"If they suddenly reappeared, if you gave them back I would not press charges, I would look the other way."
Stevie,"Okay, you know what? I gotta run."
Stevie,'Cause I wanna hit the pawn shop before it closes.
Stevie,"I owe my crack dealer a ton of money, so."
Stevie,"You seem like you have this under control, though."

Moira,"David, I politely asked that concierge girl if she had stolen my earrings, and she turned ice cold, and now she's on her way to a pawn shop!"
David,What?! I need a towel!

David,"Hi, I am sorry if my mom accused you of taking something."
David,"Okay, but does this mean that when you're cleaning our rooms, you're gonna put weird stuff in our beds out of spite, or something?"
Stevie,I won't be cleaning your room.
David,"Okay, can I ask you a question?"
David,I think you're kind of rude!
Stevie,Is that a question?
David,"I have asked you thrice now for a towel, so that I may wash this town off my body."
David,Do you think I wanna be here?
Stevie,Do you think I wanna be here?!
David,"I don't know what you want, you've given me one word answers since I got here!"
Stevie,So if I get you a towel you'll stop following me to my car?
Stevie,"Fine, but I'm only doing this because you called me rude, and I take that as a compliment."

Johnny,The man is a lunatic!
Johnny,What the hell happened here?
Moira,Right now some local is pawning my earrings for crank.
Moira,"Yes, my diamonds, the one thing I could hide under my tongue."
Johnny,"Moira, I took your earrings out of here, and I put them in my shoe. For safekeeping."

Alexis,Stavros just texted me.
Alexis,"And he ended it, he's not coming!"
Alexis,"He said he doesn't have time to come and get me, because he already rsvp'd to Diddy's white party, and doesn't have time to do both!"
Alexis,But I was supposed to be his date to the white party!
Moira,"Alexis, he was never my favourite Stavros."
Johnny,I've hated that guy ever since he asked me to do lines with him at my sixtieth.
David,"Just out of sheer curiosity, um, where do you stand now on whether or not you think this motel is cute?"
David,"Like, is it still cute, or is it..."
Alexis,"You're a dick, David!"
David,"Oh, I'm a dick!"
David,"Okay, did I dump you for a party?!"

Johnny,"David, help me with the doors."
David,"No I can't, I just got out of the shower."
Johnny,I need help with the doors.
Alexis,"David, help him with the doors!"
David,You help him with the doors!
Johnny,"David, could you help me with the doors?!"
Moira,"Pick up a hammer, and nail this coffin shut!"

Alexis,As if I didn't see this coming.
Alexis,He's broken up with me five times already.
Alexis,"Like, there was that time that he never met me in Rio,"
Alexis,his ex wife's engagement ring?
David,Oh my God! Can you do me a huge favour?
David,"And never repeat this to anyone that you respect, okay?"

Johnny,"Kids, we just came in to say good night, and to remind you that we will get through this..."
David,Warmest regards to you both.
Johnny,And that will end up on our feet in no time!
David,"Of course, by then our feet will be shoeless, and filthy and mangled, from walking on cigarette butts and broken beer bottles."
David,"So, seriously Alexis, enough about Stavros!"
Alexis,I'm sorry if I am going through something right now!
David,You're going through something?!

unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
Moira,I just finally cried myself to sleep.
Johnny,The bed is soaking wet.
Johnny,No! There's... there is leak in the ceiling.
Johnny,There is a brown disgusting drip coming.
Johnny,Look it! Look... oh my God.
Moira,I can't do it.
Johnny,This place is a dump! It's a dump!
Johnny,You know what it's a hell hole.
Moira,"I tired, John, but I can't!"

Johnny,"Start packing, the pluming is shot to hell in this place and we are getting out. We are getting out!"
David,What are you wearing? What is that? A nightgown?
Johnny,"It's a nightshirt, David. And that's not the issue."
Johnny,The issue is the brown sludge in my bed.
Johnny,We're selling the place!
Johnny,What's the name of that mouthy kid at the front desk?
David,I don't know. I'm trying very hard not to connect with people right now.
Johnny,"The mouth the mouth, the girl."
David,You might want to rethink the nightgown first.
David,There's an ebenezer scrooge thing happening right now.
Alexis,"Oh my God, that's who I was thinking of."
Johnny,You know what?! I'll do it myself.
David,My best to Bob Cratchit.

Johnny,This bell is broken.
Stevie,It's more or less decorative.
Johnny,There's a leak in my room.
Johnny,"Brown, disgusting sewage water was dripping all over my bed this morning."
Johnny,I was soaking wet. So I need a plumber.
Stevie,You want me to call a plumber?
Johnny,Do I want you to call a plumber?
Johnny,"Yes, yes I do. I want you call..."
Johnny,You should already be on the phone.
Johnny,Could you call a plumber?
Stevie,let's see if he's home... or conscious.
Stevie,"He's a good guy, he's just a big drinker."
Johnny,I also need a real estate agent.
Johnny,The name of a good real estate agent right away.
Stevie,"Ooh, there's a guy named Ray."
Stevie,Yeah. He's the best one. He's also the only one so...
Johnny,A guy named Ray...
Stevie,"Is there anything else I can help you with, Mr. Rose?"
Stevie,Yes. My wife and I will be taking breakfast in our room this morning.
Johnny,Eggs florentine and a yoghurt parfait.
Stevie,"Yeah... unfortunately, due to a lack of everything, we don't do room service."
Stevie,"Uh, but you're always welcome to help yourself to our complimentary espresso bar."
Johnny,I'd rather drink the pipe-water.

Alexis,Ew! Who even is this girl?
Alexis,He said he'd never date someone with a toe ring and yet...
Moira,I rubbed your back many a nights when you were little.
David,"Yeah, in exchange for half my allowance."
Moira,Fine. You may select one silver piece from my accessory case.
Alexis,Omigod... she has hakuna matata tattooed on her foot.
David,Stavros was seeing escorts before you.
David,A Disney tattoo shouldn't be a surprise.
Alexis,We said no social media post breakup. We had a pact about that.
David,"Oh, well, I'm sorry, I don't hire my friends at model castings."
Alexis,"Actually, now that I think about in, where are those friends?"
David,They're just giving me space right now.
David,Because they're considered people.
David,"Okay. Well, I think it's bests that he dumped you."
Alexis,He didn't dump me.
Alexis,We actually both decided that it was best that he see other people so...
Moira,"Children, mindless bickering is a luxury we may no longer afford."
Moira,You are blind to reality and for that I am most proud but our worlds evil twin... has reared her ugly...
David,Okay. I'm taking my journal into the bathroom.
David,Where I will be shutting the door.
Moira,David! You might actually wanna hear this.

Johnny,"Johnny Rose. My wife, Moira."
Moira,"Oh, I love your complexion."
Ray,"So... what can I help you with, housing, investment opportunities?"
Moira,Mr. Rose and I would like to put a for sale sign on this incredible town.
Johnny,We're willing to settle for what we paid for it.
Johnny,"More if you can get it, but definitely not less."
Ray,"Well, I'm not gonna lie to you I'm not super optimistic."
Ray,"You know, because the government saw no value in Schitt's Creek."
Ray,"You know, because of the humiliating..."
Johnny,"Yes, we know. We know. We know."
Ray,"Well, we'll do our best."
Ray,First we just have to get Roland to sign off on the listing and then we're good to go.
Moira,I need to confer with the financial powerhouse of the family.
Moira,Since when did the mayor need to sign off on this?
Johnny,"Ray, since when did the mayor need to sign off on this?"
Ray,"Well, it's all here..."
Johnny,Son of a btch!

David,I don't think my sheets have been cleaned.
David,They smell like cigarettes.
Stevie,"No, that's just the way they smell."
Stevie,"Also, you can tell your dad that the plumber was busy so I just pushed the bed against the wall and put down a bucket where the bed was."
David,"Okay. We're gonna be selling the town, so it'll be someone else's problem soon."
Stevie,But it's such a great place to live.
David,I think you're funny.
Stevie,"Um, look I know this probably isn't your thing, but there's a tailgate party later."
Stevie,It's not exactly clubbing but you know... close.
David,I don't even know what 'tailgate' means.
David,In my mind I'm picturing like a Klan rally.
Stevie,"Yeah, just fewer pointy hats."
Stevie,It's just townies with un-ironic haircuts.
David,Okay. I'm gonna pass I'm not really in the mood to be a victim of a hate crime tonight so...
Alexis,Stavros just posted three more photos.
Alexis,Who are these jenky women?
David,"Uh, from the looks of it they're blonde and mostly naked so..."
Alexis,Is there a bar in this place or are we in one of those religo cult towns?
Stevie,I was just telling your brother about a party tonight.
Stevie,But he passed so...
Alexis,"Um, yes. Love that journey for me."
Alexis,"Okay, so I'm looking for a guy like a mechanic or someone that hammers stuff."
Alexis,"Um, at least 5'7. Kind of like full lips."
Alexis,Athletic body. Maybe a neck tattoo would be cute.
Alexis,"You know, I think this could be really good for me."
Stevie,You're welcome. Yeah. I'm looking forward to it.
Stevie,Having all that fun.

Roland,"So Johnny Rose wants the ol' Johnny Hancock, huh?"
Roland,"Shouldn't be a problem, Johnny."
Johnny,I'm happy to signoff on the listing.
Johnny,"Well, thank you, very much, Rolland, I appreciated."
Roland,Sure. Why don't you come over tonight and pick it up.
Johnny,"No, no. Roland, a signature, that's all I need."
Roland,"Johnny look, here is what you're gonna do; you're gonna grab the kids, you're gonna grab Moira, you're gonna come over we're gonna sit down like civilized people, have a few laughs, and then at the end of the evening we'll get to the big signing, okay?"
Johnny,"Right. Okay. Honestly Roland, it's just a, it's just a signature. A flick of the wrist. That's it."
Roland,"You're not rejecting my hospitality, are you, Johnny?"
Roland,"Because that really wouldn't be a good way to start things off, I don't think."
Johnny,"No, no. I'd love to come to dinner are you kidding me?"
Johnny,"No. I just thought, let's do business first, get the signature, and then dinner."
Roland,"Johnny, you want that, to get that you need this."
Roland,So let's just do this my way.
Johnny,"Yeah, yeah, sure. Yeah, dinner is."
Roland,"Dinner it is, atta boy. Okay."

Moira,"How did you not get the contract signed, John?"
Moira,"Can one thing, just one thing, not be easy in this town?!"
Johnny,"Look Roland's playing games, honey, he's playing games."
Johnny,So this is something we have to do.
Alexis,"Okay. Well, I would love to go, but I've actually double booked myself."
Alexis,if I bailed last minute. So I can't.
Johnny,"Okay. Well, cancel it because you're coming to dinner."
Moira,One of you kids has to come.
Johnny,"David, you've got nothing on tonight."
David,How... how do you know that.
Johnny,What do you have on tonight?
Moira,"Or you could go alone, John."
Moira,Since you are the one who did not get the contract signed.
Johnny,"Moira, Roland wants the family there tonight, so my family has to go tonight."
Johnny,Let me explain something about business.
Johnny,sometimes you lead. and sometimes you follow.
Moira,"And which are you doing now, John?"
Johnny,"I am leading, Moira."
Moira,In a Roland game I think you're following.
Johnny,"Following in the game but leading in the dance, right?"
Johnny,"And he thinks he's leading in the dance, but only because I've allowed him to think..."
Moira,Are you listening to this kids?
Johnny,It doesn't matter. I'm leading.
Moira,"And if I bang my head and slip beneath the surface, so be it, Mr. Rose."

David,"Uh yeah, Stevie called."
David,Apparently the plumber's in rehab.
David,And you also... you have something on your...
David,I don't know what that is but it's a thing.
Johnny,Son of a btch!
Jocelyn,Make yourselves at home. Roland is just on the toilet.
Johnny,"Oh, what a surprise."
David,"You have a really lovely home. It's really um, understated."
Jocelyn,Thank you. I get a lot of my ideas from magazines.
Moira,This is 100 percent you and only you.
Roland,"Come on, folk, please sit."
Roland,"Come on, I'm just the mayor for crying out loud."
Jocelyn,That's too bad about Alexis.
Johnny,"Well, it is. But we did bring the life of the party."
Roland,"Well, I guess, that just means there is more for you and me, right Dave?"
Jocelyn,I hope everyone likes a cheeseball.
Jocelyn,It's the treat that keeps our love life percolating.
Jocelyn,It's like an aphrodisiac with him.
Johnny,"Oh yes, can't wait. Can't wait. Mmm."
Jocelyn,"So David, tell us about yourself I hear you're a gallerist."
Roland,Wow. There's a 10 dollar word.
Moira,David owned a brilliant gallery.
Moira,Tell them about your last show.
Johnny,"Tell them, David, tell them."
David,The gallery worked with Janet Kempfluugen.
Johnny,She's a Brooklyn based performance artist she's a big deal.
David,"Anyway um... she would walk into the space wearing a clay mask of a fawn, remove her clothing and breast feed members of the audience."
Johnny,It was a commentary on income inequality.

Alexis,"I wish I could pull off the whole gloomy, no makeup look."
Alexis,"So, why are you single?"
Stevie,Who said I'm single?
Alexis,"Girl, we're on the hunt. I hope you're single."
Stevie,"Oh, no. I'm not ""on the hunt""."
Stevie,"A town this size, you've either been through 'em or know a little too much about 'em."
Alexis,Hmm. Okay. I'm gonna go do a lap and this swan is best when she flies solo.
Stevie,So you're gonna be okay?
Alexis,Okay. Am I good?
Alexis,Yes? Okay. Thank you.
Stevie,Are you not cold-

Roland,"I know it's gotta be in here somewhere,"
Johnny,"Maybe a fork would help, Roland?"
Roland,"Oh, that's sweet. Thank you. I'm okay. I'll find it."
Johnny,"So is that the ah, contract over there?"
Roland,"Yeah, it is. You know, I gotta be honest with you, I tried reading that thing it is really boring."
Roland,"Ah, got it! There she is! Okay."
Roland,"Ohh! Oh my God, honey... oh, that is good."
Moira,"I believe you were saying, John."
Johnny,Yes. This reminds me of a merger I put together in Zurich.
Johnny,It was two families breaking bread together.
David,Ahh! Agh. My head. My head hurts.
David,"Um, it think it's the migraines that I get a lot."
Johnny,"Oh, I think... I think that'll pass, David."
David,I don't think it's gonna pass. I don't think it's passing.
Jocelyn,Migraines can be so awful.
Johnny,"Yeah, well, not this one. Not this one."
David,"Yeah, you know what? I... I think I need to go."
Johnny,I think you need to eat something and that will help.
David,"No, I think I need to go back."
Moira,Take me with you please.
Johnny,"David, sit down. Sit down. Sit back down."
Roland,Why don't you lay down on our mattress.
Roland,The sheets are in the dryer but there is rubber pad.
Johnny,David! Don't go near the door.
Johnny,David! Do not open that door.
Moira,I brought vodka as a house gift.
Moira,I don't see it.

Alexis,I'm a little drunk.
Stevie,I don't know why you were so reluctant to show up here.
Stevie,You fit right in.
David,"Well, my sister texted me ""help""."
David,And my mind went straight to deliverance.
David,So I wasn't too far off.
Stevie,and said you'd probably show up here because you were bored and lonely and had nothing better to do.
David,"Well, my sister is a broken shell of a human being."
David,That's where that's coming from so...
Stevie,"Oh. Well, she seems fine."
Stevie,So I guess you're free to go.
David,I'm gonna need a stiff drink to get through this. Stiff.

Moira,"So Jocelyn, you were saying that you teach high school, or you want to finish high school?"
Moira,"I'm not sure, I couldn't hear over your husband's chewing."
Jocelyn,I teach high school.
Moira,"Oh, you're a saint."
Jocelyn,I love it. I love connecting with the young people.
Jocelyn,Although I know those boys are undressing me every time I drop a piece of chalk.
Moira,"Yeah. Well, maybe we should hold onto our chalk, hmm?"
Jocelyn,They're boys! It's cute.
Roland,"Oh, there it is! There it is!"
Roland,The Vivien Blake btch face!
Roland,"I didn't want to say anything, but you were my favourite character on ""Sunrise Bay""."
Jocelyn,"He lived for ""Sunrise Bay""."
Jocelyn,"I could be doing cartwheels in a thong in front of that television, which I have done, but if your show was on, I was as good as wall paper."
Roland,"Hey, how many people did you slap on that show?"
Johnny,"She can't remember, there were so many slaps."
Moira,Let's talk about you signing this contract.
Roland,"Well, somebody is in a little hurry, ain't she?"
Johnny,"No, no. We're not in a hurry. No."
Moira,No. We're not. No.
Roland,There it is again! Bam!
Roland,"Okay, I'll tell you what, Vivien..."
Roland,I will go ahead and sign off on the sale...
Roland,... For a slap.
Roland,I've always wanted to be slapped by Vivien Blake.
Jocelyn,"It's true. We've role-played it like a thousand times, but it's not the real thing."
Moira,You'd like me to slap you?
Roland,"Well, don't think. Just do it. Slap me."
Johnny,He wants you to slap him.
Johnny,Go ahead and slap him.
Jocelyn,"Slap my husband, Moira."
Johnny,Slap him or I'll slap him.
Roland,Slap me like a btch!
Moira,Sign the fcking contract!

Alexis,"Um... this has been a lot of fun, but I'm starting to smell a little too much like uh, campfire, and denim and plaid and stuff so... bye."
Stevie,Your choices are beer or beer.
David,I assume a pint glass is out of the question?
Alexis,You came! How was dinner?
David,Um... worse than this?
David,Although at this point it's sort of a moving target.
Alexis,So there are no guys for me here.
Alexis,But it was kind of nice to just like to flex the old muscle.
Stevie,Put your thumb over the tube.
Alexis,"Agh, I kind of wanna just go for it but..."
David,"But sometimes it doesn't work out, I guess."
Stevie,"Okay, put the tube in your mouth."
Stevie,Yeah. Just open your throat.
Stevie,"And go down, 'cause you're tall."
Alexis,"Okay. David, how long are you gonna be doing this?"
Alexis,"Okay, just come and get me after you vomit, okay?"
Stevie,Chug! Chug! Chug! Chug! Chug! Chug! Chug! Chug!

Ronald,"There you go, Johnny, congratulations."
Johnny,Thank you very much. Thank you.
Ronald,"Just remember one thing, okay?"
Ronald,This is my town and you're gonna play by my rules.
Ronald,"Laughs I'm just messing with you, man!"
Roland,Laughs No. I am.
Moira,"Jocelyn, thank you for an unforgettable evening, I will be dining out on this for years."
Jocelyn,I'll send you the recipes.
Johnny,"Yes, Jocelyn, words can't express."
Roland,You sure gonna need it.
Roland,"Well, it took a while to sell the first time."
Roland,"I mean, it was on the market for like what 20 years before you bought it."
Roland,"Yeah. I mean, most people just thought it was a waste of money that it would never sell, you know?"
Roland,Who in their right mind would buy it!
Roland,Then along came you.

Moira,John! Did you know this town was on the market for 20 years before we bought it?
Johnny,How would I know that? W... why would I know that?
Johnny,I didn't know that.
Johnny,"But look, let's look at the bright side..."
Moira,There is no bright side.
Moira,"This is the dark side of the moon, Johnny."
Moira,"And we'll be here another 20 years, tucked in a crater, lost to all."
Johnny,I think that's being a little dramatic.
Moira,Yes! It's dramatic!
Johnny,"Sweetheart! We got the thing signed, okay?!"
Johnny,"And if we have to fix this town up before we sell it, then we fix it up."
Johnny,"We fix it up, bit by bit."
Johnny,And it's gonna take hard work but we can do it because we're Roses.
Johnny,And there is nothing we can't do...
Alexis,You're being super loud right now.
David,I can hear you thought the headphones!
Alexis,So if you can just wrap it up in here.
David,10 to a 5. Thanks.
Johnny,I feel good about this. I really do.

unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
Johnny,"So, this is the town limits?"
Ray,"Yes sir, 4,500 acres that ends right here at the town sign."
Ray,"And it's all yours, Johnny, it must be a nice feeling, considering you don't have a lot right now."
Ray,"You know, because of the crooked business manager."
Ray,"You know, the money scandal..."
Johnny,"Yes, I know, I know, I know, Ray."
Johnny,What the hell is this?!
Johnny,"Is this the real sign, or the joke sign?"
Ray,What do you mean?
Johnny,You don't see anything wrong with this?
Johnny,"Standing awfully close to that woman, wouldn't you say?"
Ray,"Well, he's holding on to her so she doesn't fall into the creek."
Johnny,"Look a little closer, Ray."
Ray,"Well, it need a little sprucing up."
Ray,"It's very popular, people come from all over to take a picture with it."
Johnny,I'll bet they do!
Johnny,You know what? This is coming down!
Ray,That's the mayor's family up there!
Ray,The sign's been here over forty years.
Johnny,And you wonder why this place won't sell?
Johnny,"Oh, I think I see it now. His shoulders are too big."
Johnny,"Boy, we've got our work cut out for us."
Johnny,But I've seen worse.
Johnny,It's not a problem.

